"x"
"MDGA1"
"ZNF300"
"SSH3"
"ZNF577"
"CRY1"
"ZFP28"
"FGL2"
"EID3"
"MSI2"
"VASH1"
"ZNF667"
"SH3PXD2A"
"PSMA8"
"ZNF135"
"TGFBR3"
"PKP3"
"PAX8"
"ZNF471"
"DCLK2"
"CCL28"
"PAK1"
"NLRP4"
"PTCH1"
"USP6NL"
